file_names,Class
"1407,3005_HawkinsT-1978_Gadus-morhua_Grunt_Aquarium_event_0.wav",grunt
"1407,3005_HawkinsT-1978_Gadus-morhua_Grunt_Aquarium_event_1.wav",grunt
"1407,3005_HawkinsT-1978_Gadus-morhua_Grunt_Aquarium_event_2.wav",invalid
"1407,3005_HawkinsT-1978_Gadus-morhua_Grunt_Sea_event_0.wav",grunts
"1407,3005_HawkinsT-1978_Pollachius-pollachius_Grunt_event_0.wav",croaks
"1407,3005_HawkinsT-1978_Pollachius-pollachius_Grunt_event_1.wav",
1472_FishM-1970_Ophidion-marginatum_Drumroll_event_0.wav,
1472_FishM-1970_Ophidion-marginatum_Drumroll_event_1.wav,
1472_FishM-1970_Ophidion-marginatum_Drumroll_event_2.wav,
1472_FishM-1970_Ophidion-marginatum_Drumroll_event_3.wav,
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Drum_event_0.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Drum_event_1.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_0.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_1.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_2.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_3.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_4.wav",
"1551,1946,etc_AmorimC-2018_Pomatoschistus-pictus_Thump_event_5.wav",
1560_RountreeR-2018_Alosa-pseudoharengus_Cough-Mouthbubble-Snitch_event_0.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_0.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_1.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_10.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_11.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_12.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_2.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_3.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_4.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_5.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_6.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_7.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_8.wav,
1560_RountreeR-2018_Catastomus-commersonii_Snitch-Snort_event_9.wav,
1560_RountreeR-2018_Oncorhynchus-mykiss_Gurgle-VFRT_event_0.wav,
1560_RountreeR-2018_Salmo-salar_Jump-FRT-Moan-Gurgle_event_0.wav,
1560_RountreeR-2018_Salmo-trutta_BubbleFRT-Chirp-VFRT_event_0.wav,
1560_RountreeR-2018_Salmo-trutta_BubbleFRT-Chirp-VFRT_event_1.wav,
1560_RountreeR-2018_Salvelinus-fontinalis_Snitch-VFRT_event_0.wav,
1583_RieraA-2018_Boreogadus-saida_Grunt-1_event_0.wav,
1583_RieraA-2018_Boreogadus-saida_Grunt-2_event_0.wav,
1583_RieraA-2018_Boreogadus-saida_Grunt-3_event_0.wav,
1591_PineM-2018_Unknown-sp1@Sanjiao_Chorus_event_0.wav,
1591_PineM-2018_Unknown-sp2@Sanjiao_Chorus_event_0.wav,
1591_PineM-2018_Unknown-sp2@Sanjiao_Chorus_event_1.wav,
1591_PineM-2018_Unknown-sp2@Sanjiao_Chorus_event_2.wav,
1591_PineM-2018_Unknown-sp2@Sanjiao_Chorus_event_3.wav,
1591_PineM-2018_Unknown-sp3@Sanjiao_Chorus_event_0.wav,
1591_PineM-2018_Unknown-sp4@A5_Chorus_event_0.wav,
1643_RountreeR-2017_Aplodinotus-grunniens_Drum-Call-1_event_0.wav,
